image,score,mse,inliers,inlier_ratio
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760073_no_bg.png,0.9807415999625473,2.5054682677469136,770,0.9859154929577465
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760074_no_bg.png,0.9806049761753515,2.4963676697530865,815,0.9878787878787879
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760075_no_bg.png,0.980580986853795,2.5102247299382716,760,0.96569250317662
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760076_no_bg.png,0.9806911904031824,2.4917978395061726,788,0.9716399506781751
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760077_no_bg.png,0.9806245005998848,2.500672260802469,791,0.9838308457711443
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760078_no_bg.png,0.9811101802036803,2.4740412808641974,766,0.9720812182741116
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760079_no_bg.png,0.9809451231584927,2.494071662808642,783,0.97875
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760080_no_bg.png,0.9806974521016527,2.4979774305555558,797,0.9767156862745098
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760081_no_bg.png,0.9809011178802106,2.4906934799382716,769,0.9783715012722646
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760082_no_bg.png,0.9806552844558476,2.5381245177469136,778,0.9798488664987406
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760083_no_bg.png,0.9810091079461326,2.4931751543209875,773,0.968671679197995
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760084_no_bg.png,0.98111423298651,2.4967809606481484,800,0.9779951100244498
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760085_no_bg.png,0.9811273381550517,2.4890340470679013,782,0.9775
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760086_no_bg.png,0.9811246594012973,2.5274580439814813,801,0.9756394640682094
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760087_no_bg.png,0.9809333786402947,2.552395833333333,761,0.9832041343669251
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760088_no_bg.png,0.9812331768194762,2.548168402777778,795,0.9766584766584766
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760089_no_bg.png,0.9810293586678466,2.575251736111111,773,0.9822109275730623
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760090_no_bg.png,0.981149723899349,2.5971117862654323,783,0.9726708074534162
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760091_no_bg.png,0.9812028266388771,2.574681712962963,761,0.9706632653061225
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760092_no_bg.png,0.9808846025218976,2.589095775462963,756,0.972972972972973
out/R0.5_Triplet_Data_Flex_F1_A.4_Purple/preprocessed_images/aligned_images/R0.5_Triplet_Data_Flex_F1_A.4_F_purple_bg/image_760093_no_bg.png,0.9811459888285377,2.6212736304012347,755,0.984354628422425
